[C++][time] log reset
[C++][time] create engine, model=/data3/ledi/models/DeepSeek-R1-Distill-Qwen-7B, max_seq=800
[C++][time] prefill token 0 forward_ms=23.4632
[C++][time] prefill token 1 forward_ms=22.8091
[C++][time] prefill token 2 forward_ms=22.8238
[C++][time] prefill token 3 forward_ms=22.8138
[C++][time] prefill token 4 forward_ms=22.823
[C++][time] prefill token 5 forward_ms=22.84
[C++][time] prefill token 6 forward_ms=22.8624
[C++][time] prefill token 7 forward_ms=22.8325
[C++][time] prefill token 8 forward_ms=22.8578
[C++][time] prefill token 9 forward_ms=22.872
[C++][time] prefill token 10 forward_ms=22.8857
[C++][time] prefill token 11 forward_ms=22.8767
[C++][time] prefill token 12 forward_ms=22.8847
[C++][time] prefill total_ms=298.068, tokens=13, tokens_per_s=43.6143
[C++][time] decode step_ms=23.2777, sample_ms=0.368571, forward_ms=22.9002, decode_tokens=1, decode_tokens_per_s=42.9596
[C++][time] decode step_ms=23.4661, sample_ms=0.320134, forward_ms=23.14, decode_tokens=59, decode_tokens_per_s=42.8059
[C++][time] decode step_ms=23.4869, sample_ms=0.320164, forward_ms=23.1607, decode_tokens=60, decode_tokens_per_s=42.8021
[C++][time] decode step_ms=23.504, sample_ms=0.320673, forward_ms=23.1769, decode_tokens=61, decode_tokens_per_s=42.7979
[C++][time] decode step_ms=23.5204, sample_ms=0.32593, forward_ms=23.1882, decode_tokens=62, decode_tokens_per_s=42.7933
[C++][time] decode step_ms=23.4979, sample_ms=0.318168, forward_ms=23.1732, decode_tokens=63, decode_tokens_per_s=42.7895
[C++][time] decode step_ms=23.5083, sample_ms=0.325318, forward_ms=23.1768, decode_tokens=64, decode_tokens_per_s=42.7856
[C++][time] decode step_ms=23.535, sample_ms=0.324921, forward_ms=23.2038, decode_tokens=65, decode_tokens_per_s=42.781
[C++][time] decode step_ms=23.5513, sample_ms=0.326904, forward_ms=23.218, decode_tokens=66, decode_tokens_per_s=42.7761
[C++][time] decode step_ms=23.4988, sample_ms=0.32127, forward_ms=23.1714, decode_tokens=67, decode_tokens_per_s=42.7728
[C++][time] decode step_ms=23.5196, sample_ms=0.320202, forward_ms=23.1933, decode_tokens=68, decode_tokens_per_s=42.769
[C++][time] decode step_ms=23.5431, sample_ms=0.320554, forward_ms=23.2165, decode_tokens=69, decode_tokens_per_s=42.7648
[C++][time] decode step_ms=23.5641, sample_ms=0.325781, forward_ms=23.2316, decode_tokens=70, decode_tokens_per_s=42.76
[C++][time] decode step_ms=23.5524, sample_ms=0.319537, forward_ms=23.2269, decode_tokens=71, decode_tokens_per_s=42.7558
[C++][time] decode step_ms=23.5505, sample_ms=0.320242, forward_ms=23.2239, decode_tokens=72, decode_tokens_per_s=42.7517
[C++][time] decode step_ms=23.5456, sample_ms=0.316475, forward_ms=23.2232, decode_tokens=73, decode_tokens_per_s=42.7478
[C++][time] decode step_ms=23.5847, sample_ms=0.320742, forward_ms=23.2553, decode_tokens=74, decode_tokens_per_s=42.743
[C++][time] decode step_ms=23.5556, sample_ms=0.323737, forward_ms=23.2254, decode_tokens=75, decode_tokens_per_s=42.7391
[C++][time] decode step_ms=23.5783, sample_ms=0.316699, forward_ms=23.2558, decode_tokens=76, decode_tokens_per_s=42.7348
[C++][time] decode step_ms=23.5805, sample_ms=0.317556, forward_ms=23.2568, decode_tokens=77, decode_tokens_per_s=42.7305
[C++][time] decode step_ms=23.6073, sample_ms=0.320423, forward_ms=23.2805, decode_tokens=78, decode_tokens_per_s=42.7257
[C++][time] decode step_ms=23.5923, sample_ms=0.319714, forward_ms=23.2665, decode_tokens=79, decode_tokens_per_s=42.7214
[C++][time] decode step_ms=23.5867, sample_ms=0.317333, forward_ms=23.2635, decode_tokens=80, decode_tokens_per_s=42.7173
[C++][time] decode step_ms=23.6033, sample_ms=0.317235, forward_ms=23.2802, decode_tokens=81, decode_tokens_per_s=42.713
[C++][time] decode step_ms=23.6188, sample_ms=0.317888, forward_ms=23.2945, decode_tokens=82, decode_tokens_per_s=42.7084
[C++][time] decode step_ms=23.5912, sample_ms=0.320921, forward_ms=23.2643, decode_tokens=83, decode_tokens_per_s=42.7045
[C++][time] decode step_ms=23.6043, sample_ms=0.317961, forward_ms=23.2805, decode_tokens=84, decode_tokens_per_s=42.7004
[C++][time] decode step_ms=23.6214, sample_ms=0.318487, forward_ms=23.2965, decode_tokens=85, decode_tokens_per_s=42.6961
[C++][time] decode step_ms=23.6348, sample_ms=0.317734, forward_ms=23.3109, decode_tokens=86, decode_tokens_per_s=42.6915
[C++][time] decode step_ms=23.6281, sample_ms=0.324277, forward_ms=23.2973, decode_tokens=87, decode_tokens_per_s=42.6873
[C++][time] decode step_ms=23.6238, sample_ms=0.317445, forward_ms=23.3, decode_tokens=88, decode_tokens_per_s=42.6832
[C++][time] decode step_ms=23.6374, sample_ms=0.319694, forward_ms=23.3118, decode_tokens=89, decode_tokens_per_s=42.6789
[C++][time] decode step_ms=23.6543, sample_ms=0.318472, forward_ms=23.3301, decode_tokens=90, decode_tokens_per_s=42.6744
[C++][time] decode step_ms=23.6303, sample_ms=0.323558, forward_ms=23.3004, decode_tokens=91, decode_tokens_per_s=42.6704
[C++][time] decode step_ms=23.6346, sample_ms=0.31974, forward_ms=23.3086, decode_tokens=92, decode_tokens_per_s=42.6665
[C++][time] decode step_ms=23.6587, sample_ms=0.319199, forward_ms=23.3334, decode_tokens=93, decode_tokens_per_s=42.6622
[C++][time] decode step_ms=23.691, sample_ms=0.323032, forward_ms=23.362, decode_tokens=94, decode_tokens_per_s=42.6573
[C++][time] decode step_ms=23.6533, sample_ms=0.317155, forward_ms=23.3304, decode_tokens=95, decode_tokens_per_s=42.6533
[C++][time] decode step_ms=23.6682, sample_ms=0.320821, forward_ms=23.3411, decode_tokens=96, decode_tokens_per_s=42.649
[C++][time] decode step_ms=23.6721, sample_ms=0.317163, forward_ms=23.349, decode_tokens=97, decode_tokens_per_s=42.6448
[C++][time] decode step_ms=23.6956, sample_ms=0.318146, forward_ms=23.3715, decode_tokens=98, decode_tokens_per_s=42.6403
[C++][time] decode step_ms=23.6572, sample_ms=0.316805, forward_ms=23.3342, decode_tokens=99, decode_tokens_per_s=42.6365
[C++][time] decode step_ms=23.6795, sample_ms=0.322821, forward_ms=23.3503, decode_tokens=100, decode_tokens_per_s=42.6324
[C++][time] decode step_ms=23.7013, sample_ms=0.318845, forward_ms=23.3765, decode_tokens=101, decode_tokens_per_s=42.628
[C++][time] decode step_ms=23.7127, sample_ms=0.317974, forward_ms=23.3887, decode_tokens=102, decode_tokens_per_s=42.6235
[C++][time] decode step_ms=23.7014, sample_ms=0.319232, forward_ms=23.3759, decode_tokens=103, decode_tokens_per_s=42.6192
[C++][time] decode step_ms=23.7136, sample_ms=0.324313, forward_ms=23.3832, decode_tokens=104, decode_tokens_per_s=42.6149
[C++][time] decode step_ms=23.7218, sample_ms=0.318527, forward_ms=23.3974, decode_tokens=105, decode_tokens_per_s=42.6104
[C++][time] decode step_ms=23.728, sample_ms=0.316586, forward_ms=23.4052, decode_tokens=106, decode_tokens_per_s=42.606
[C++][time] decode step_ms=23.7145, sample_ms=0.318144, forward_ms=23.3898, decode_tokens=107, decode_tokens_per_s=42.6019
[C++][time] decode step_ms=23.7288, sample_ms=0.324228, forward_ms=23.3975, decode_tokens=108, decode_tokens_per_s=42.5976
[C++][time] decode step_ms=23.7443, sample_ms=0.319489, forward_ms=23.4189, decode_tokens=109, decode_tokens_per_s=42.5931
[C++][time] decode step_ms=23.7579, sample_ms=0.319094, forward_ms=23.4331, decode_tokens=110, decode_tokens_per_s=42.5885
[C++][time] decode step_ms=23.7491, sample_ms=0.318846, forward_ms=23.4244, decode_tokens=111, decode_tokens_per_s=42.5841
[C++][time] decode step_ms=23.7556, sample_ms=0.31724, forward_ms=23.4324, decode_tokens=112, decode_tokens_per_s=42.5797
[C++][time] decode step_ms=23.774, sample_ms=0.320393, forward_ms=23.4473, decode_tokens=113, decode_tokens_per_s=42.575
[C++][time] decode step_ms=23.7795, sample_ms=0.318479, forward_ms=23.4548, decode_tokens=114, decode_tokens_per_s=42.5704
[C++][time] decode step_ms=23.7526, sample_ms=0.31694, forward_ms=23.4296, decode_tokens=115, decode_tokens_per_s=42.5663
[C++][time] decode step_ms=23.7623, sample_ms=0.317239, forward_ms=23.4392, decode_tokens=116, decode_tokens_per_s=42.5621
[C++][time] decode step_ms=23.7794, sample_ms=0.322248, forward_ms=23.451, decode_tokens=117, decode_tokens_per_s=42.5577
[C++][time] decode step_ms=23.7953, sample_ms=0.318415, forward_ms=23.471, decode_tokens=118, decode_tokens_per_s=42.5531
[C++][time] decode step_ms=23.78, sample_ms=0.325122, forward_ms=23.4491, decode_tokens=119, decode_tokens_per_s=42.5488
[C++][time] decode step_ms=23.7736, sample_ms=0.31674, forward_ms=23.4512, decode_tokens=120, decode_tokens_per_s=42.5447
[C++][time] decode step_ms=23.8028, sample_ms=0.320805, forward_ms=23.4759, decode_tokens=121, decode_tokens_per_s=42.5403
[C++][time] decode step_ms=23.8081, sample_ms=0.317046, forward_ms=23.4853, decode_tokens=122, decode_tokens_per_s=42.5358
[C++][time] decode step_ms=23.7844, sample_ms=0.317673, forward_ms=23.4608, decode_tokens=123, decode_tokens_per_s=42.5318
[C++][time] decode step_ms=23.8035, sample_ms=0.316718, forward_ms=23.4809, decode_tokens=124, decode_tokens_per_s=42.5275
[C++][time] decode step_ms=23.8216, sample_ms=0.321283, forward_ms=23.4942, decode_tokens=125, decode_tokens_per_s=42.5231
[C++][time] decode step_ms=23.8337, sample_ms=0.31741, forward_ms=23.5104, decode_tokens=126, decode_tokens_per_s=42.5185
[C++][time] decode step_ms=23.8316, sample_ms=0.32089, forward_ms=23.5049, decode_tokens=127, decode_tokens_per_s=42.5141
[C++][time] decode step_ms=23.8326, sample_ms=0.317873, forward_ms=23.5086, decode_tokens=128, decode_tokens_per_s=42.5097
[C++][time] decode step_ms=23.8533, sample_ms=0.322698, forward_ms=23.5244, decode_tokens=129, decode_tokens_per_s=42.5051
[C++][time] decode step_ms=23.8579, sample_ms=0.319081, forward_ms=23.5326, decode_tokens=130, decode_tokens_per_s=42.5005
[C++][time] decode step_ms=23.8251, sample_ms=0.321885, forward_ms=23.4968, decode_tokens=131, decode_tokens_per_s=42.4964
[C++][time] decode step_ms=23.842, sample_ms=0.319488, forward_ms=23.5167, decode_tokens=132, decode_tokens_per_s=42.4921
[C++][time] decode step_ms=23.8694, sample_ms=0.319608, forward_ms=23.5387, decode_tokens=133, decode_tokens_per_s=42.4876
[C++][time] decode step_ms=23.8762, sample_ms=0.320013, forward_ms=23.5496, decode_tokens=134, decode_tokens_per_s=42.483
[C++][time] decode step_ms=23.8728, sample_ms=0.319231, forward_ms=23.5475, decode_tokens=135, decode_tokens_per_s=42.4785
[C++][time] decode step_ms=23.879, sample_ms=0.319766, forward_ms=23.553, decode_tokens=136, decode_tokens_per_s=42.4741
[C++][time] decode step_ms=23.8882, sample_ms=0.319174, forward_ms=23.5629, decode_tokens=137, decode_tokens_per_s=42.4695
[C++][time] decode step_ms=23.9034, sample_ms=0.327992, forward_ms=23.5686, decode_tokens=138, decode_tokens_per_s=42.4649
[C++][time] decode step_ms=23.8908, sample_ms=0.32389, forward_ms=23.5612, decode_tokens=139, decode_tokens_per_s=42.4604
[C++][time] decode step_ms=23.8957, sample_ms=0.318861, forward_ms=23.5707, decode_tokens=140, decode_tokens_per_s=42.456
[C++][time] decode step_ms=23.9046, sample_ms=0.321276, forward_ms=23.5772, decode_tokens=141, decode_tokens_per_s=42.4515
[C++][time] decode step_ms=23.9324, sample_ms=0.327251, forward_ms=23.5991, decode_tokens=142, decode_tokens_per_s=42.4467
[C++][time] decode step_ms=23.9142, sample_ms=0.321196, forward_ms=23.5864, decode_tokens=143, decode_tokens_per_s=42.4423
[C++][time] decode step_ms=23.9069, sample_ms=0.321505, forward_ms=23.5796, decode_tokens=144, decode_tokens_per_s=42.4379
[C++][time] decode step_ms=23.9326, sample_ms=0.320366, forward_ms=23.6061, decode_tokens=145, decode_tokens_per_s=42.4334
[C++][time] decode step_ms=23.9427, sample_ms=0.330221, forward_ms=23.6065, decode_tokens=146, decode_tokens_per_s=42.4287
[C++][time] decode step_ms=23.9314, sample_ms=0.320129, forward_ms=23.6052, decode_tokens=147, decode_tokens_per_s=42.4243
[C++][time] decode step_ms=23.9272, sample_ms=0.32177, forward_ms=23.5996, decode_tokens=148, decode_tokens_per_s=42.42
[C++][time] decode step_ms=23.9371, sample_ms=0.322003, forward_ms=23.6089, decode_tokens=149, decode_tokens_per_s=42.4156
[C++][time] decode step_ms=23.9972, sample_ms=0.328663, forward_ms=23.6622, decode_tokens=150, decode_tokens_per_s=42.4105
[C++][time] decode step_ms=23.9574, sample_ms=0.32437, forward_ms=23.6272, decode_tokens=151, decode_tokens_per_s=42.406
[C++][time] decode step_ms=23.9516, sample_ms=0.320128, forward_ms=23.6251, decode_tokens=152, decode_tokens_per_s=42.4016
[C++][time] decode step_ms=23.9845, sample_ms=0.322822, forward_ms=23.6555, decode_tokens=153, decode_tokens_per_s=42.3969
[C++][time] decode step_ms=24.001, sample_ms=0.32416, forward_ms=23.6706, decode_tokens=154, decode_tokens_per_s=42.3921
[C++][time] decode step_ms=23.9715, sample_ms=0.327133, forward_ms=23.6377, decode_tokens=155, decode_tokens_per_s=42.3877
[C++][time] decode step_ms=23.9838, sample_ms=0.318122, forward_ms=23.6599, decode_tokens=156, decode_tokens_per_s=42.3832
[C++][time] decode step_ms=23.9919, sample_ms=0.318305, forward_ms=23.6679, decode_tokens=157, decode_tokens_per_s=42.3786
[C++][time] decode step_ms=24.0289, sample_ms=0.321615, forward_ms=23.6984, decode_tokens=158, decode_tokens_per_s=42.3737
[C++][time] decode step_ms=24.017, sample_ms=0.328666, forward_ms=23.6819, decode_tokens=159, decode_tokens_per_s=42.369
[C++][time] decode step_ms=24.0175, sample_ms=0.32203, forward_ms=23.6895, decode_tokens=160, decode_tokens_per_s=42.3643
[C++][time] decode step_ms=24.0254, sample_ms=0.320625, forward_ms=23.6987, decode_tokens=161, decode_tokens_per_s=42.3596
[C++][time] decode step_ms=24.0324, sample_ms=0.31745, forward_ms=23.7089, decode_tokens=162, decode_tokens_per_s=42.3549
[C++][time] decode step_ms=24.0096, sample_ms=0.322888, forward_ms=23.6804, decode_tokens=163, decode_tokens_per_s=42.3505
[C++][time] decode step_ms=24.0183, sample_ms=0.318011, forward_ms=23.6942, decode_tokens=164, decode_tokens_per_s=42.3461
[C++][time] decode step_ms=24.0528, sample_ms=0.330387, forward_ms=23.7165, decode_tokens=165, decode_tokens_per_s=42.3413
[C++][time] decode step_ms=24.0644, sample_ms=0.320658, forward_ms=23.7377, decode_tokens=166, decode_tokens_per_s=42.3365
[C++][time] decode step_ms=24.057, sample_ms=0.324497, forward_ms=23.7265, decode_tokens=167, decode_tokens_per_s=42.3318
[C++][time] decode step_ms=24.0518, sample_ms=0.318917, forward_ms=23.7269, decode_tokens=168, decode_tokens_per_s=42.3272
[C++][time] decode step_ms=24.0739, sample_ms=0.322601, forward_ms=23.7451, decode_tokens=169, decode_tokens_per_s=42.3225
[C++][time] decode step_ms=24.0894, sample_ms=0.326511, forward_ms=23.7553, decode_tokens=170, decode_tokens_per_s=42.3176
[C++][time] decode step_ms=24.0699, sample_ms=0.329408, forward_ms=23.7336, decode_tokens=171, decode_tokens_per_s=42.313
[C++][time] decode step_ms=24.0667, sample_ms=0.318306, forward_ms=23.7424, decode_tokens=172, decode_tokens_per_s=42.3085
[C++][time] decode step_ms=24.0675, sample_ms=0.318996, forward_ms=23.7422, decode_tokens=173, decode_tokens_per_s=42.3041
[C++][time] decode step_ms=24.0754, sample_ms=0.319876, forward_ms=23.7497, decode_tokens=174, decode_tokens_per_s=42.2996
[C++][time] decode step_ms=24.0772, sample_ms=0.324634, forward_ms=23.7463, decode_tokens=175, decode_tokens_per_s=42.2951
[C++][time] decode step_ms=24.0815, sample_ms=0.319282, forward_ms=23.7562, decode_tokens=176, decode_tokens_per_s=42.2907
[C++][time] decode step_ms=24.0962, sample_ms=0.320061, forward_ms=23.7701, decode_tokens=177, decode_tokens_per_s=42.2861
[C++][time] decode step_ms=24.1059, sample_ms=0.322868, forward_ms=23.777, decode_tokens=178, decode_tokens_per_s=42.2815
[C++][time] decode step_ms=24.1032, sample_ms=0.322237, forward_ms=23.7745, decode_tokens=179, decode_tokens_per_s=42.277
[C++][time] decode step_ms=24.0866, sample_ms=0.325003, forward_ms=23.7552, decode_tokens=180, decode_tokens_per_s=42.2727
[C++][time] decode step_ms=24.0866, sample_ms=0.318738, forward_ms=23.7616, decode_tokens=181, decode_tokens_per_s=42.2684
[C++][time] decode step_ms=24.1155, sample_ms=0.318598, forward_ms=23.791, decode_tokens=182, decode_tokens_per_s=42.264
[C++][time] decode step_ms=24.1149, sample_ms=0.325731, forward_ms=23.7826, decode_tokens=183, decode_tokens_per_s=42.2595
[C++][time] decode step_ms=24.1054, sample_ms=0.319634, forward_ms=23.7797, decode_tokens=184, decode_tokens_per_s=42.2552
[C++][time] decode step_ms=24.1273, sample_ms=0.323009, forward_ms=23.7977, decode_tokens=185, decode_tokens_per_s=42.2508
[C++][time] decode step_ms=24.1418, sample_ms=0.318001, forward_ms=23.8178, decode_tokens=186, decode_tokens_per_s=42.2462
[C++][time] decode step_ms=24.1195, sample_ms=0.328736, forward_ms=23.7826, decode_tokens=187, decode_tokens_per_s=42.2419
[C++][time] decode step_ms=24.1233, sample_ms=0.321001, forward_ms=23.7953, decode_tokens=188, decode_tokens_per_s=42.2377
[C++][time] decode step_ms=24.1555, sample_ms=0.318846, forward_ms=23.83, decode_tokens=189, decode_tokens_per_s=42.2331
[C++][time] decode step_ms=24.1661, sample_ms=0.320214, forward_ms=23.8392, decode_tokens=190, decode_tokens_per_s=42.2286
[C++][time] decode step_ms=24.1494, sample_ms=0.32247, forward_ms=23.8208, decode_tokens=191, decode_tokens_per_s=42.2242
[C++][time] decode step_ms=24.1764, sample_ms=0.323499, forward_ms=23.8464, decode_tokens=192, decode_tokens_per_s=42.2196
[C++][time] decode step_ms=24.178, sample_ms=0.318745, forward_ms=23.8533, decode_tokens=193, decode_tokens_per_s=42.2151
[C++][time] decode step_ms=24.1861, sample_ms=0.319307, forward_ms=23.8604, decode_tokens=194, decode_tokens_per_s=42.2105
[C++][time] decode step_ms=24.1651, sample_ms=0.320779, forward_ms=23.8377, decode_tokens=195, decode_tokens_per_s=42.2062
[C++][time] decode step_ms=24.1813, sample_ms=0.325532, forward_ms=23.8489, decode_tokens=196, decode_tokens_per_s=42.2017
[C++][time] decode step_ms=24.2011, sample_ms=0.324101, forward_ms=23.8706, decode_tokens=197, decode_tokens_per_s=42.1972
[C++][time] decode step_ms=24.2313, sample_ms=0.327685, forward_ms=23.8975, decode_tokens=198, decode_tokens_per_s=42.1924
[C++][time] decode step_ms=24.1914, sample_ms=0.317245, forward_ms=23.868, decode_tokens=199, decode_tokens_per_s=42.188
[C++][time] decode step_ms=24.2156, sample_ms=0.326409, forward_ms=23.8825, decode_tokens=200, decode_tokens_per_s=42.1834
[C++][time] decode step_ms=24.2274, sample_ms=0.318894, forward_ms=23.9022, decode_tokens=201, decode_tokens_per_s=42.1788
[C++][time] decode step_ms=24.2252, sample_ms=0.318076, forward_ms=23.9012, decode_tokens=202, decode_tokens_per_s=42.1742
